不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
170,ひきおとし,引き落とし,,0,res://assets/words/jp_word_170.png,,0,0,1
171,てすうりょう,手数料,,0,res://assets/words/jp_word_171.png,,0,0,1
172,だしいれ,出し入れ,,0,res://assets/words/jp_word_172.png,,0,0,1
173,たかくつく,高くつく,,0,res://assets/words/jp_word_173.png,,0,0,1
174,ざんだか,残高,,0,res://assets/words/jp_word_174.png,,0,0,1
175,せっせと,,,0,res://assets/words/jp_word_175.png,,0,0,1
176,おおまかな,大まかな,,0,res://assets/words/jp_word_176.png,,0,0,1
177,さしひく,差し引く,,0,res://assets/words/jp_word_177.png,,0,0,1
178,つとめる,努める,,0,res://assets/words/jp_word_178.png,,0,0,1
179,たてかえる,立て替える,,0,res://assets/words/jp_word_179.png,,0,0,1
180,えんじょ,援助,,0,res://assets/words/jp_word_180.png,,0,0,1
181,へんさい,返済,,0,res://assets/words/jp_word_181.png,,0,0,1
182,あんてい,安定,,0,res://assets/words/jp_word_182.png,,0,0,1
183,すききらい,好き嫌い,,0,res://assets/words/jp_word_183.png,,0,0,1
184,こうぶつ,好物,,0,res://assets/words/jp_word_184.png,,0,0,1
185,あきる,飽きる,,0,res://assets/words/jp_word_185.png,,0,0,1
186,ものたりない,物足りない,,0,res://assets/words/jp_word_186.png,,0,0,1
187,ボリューム,,,0,res://assets/words/jp_word_187.png,,0,0,1
188,ひとくち,一口,,0,res://assets/words/jp_word_188.png,,0,0,1
189,かじる,,,0,res://assets/words/jp_word_189.png,,0,0,1
190,ひとたび,,,0,res://assets/words/jp_word_190.png,,0,0,1
191,うまい,,,0,res://assets/words/jp_word_191.png,,0,0,1
192,いける,,,0,res://assets/words/jp_word_192.png,,0,0,1
193,しぶい,渋い,,0,res://assets/words/jp_word_193.png,,0,0,1
194,くどい,,,0,res://assets/words/jp_word_194.png,,0,0,1
195,ファミレス,,,0,res://assets/words/jp_word_195.png,,0,0,1
196,フルコース,,,0,res://assets/words/jp_word_196.png,,0,0,1
197,オーダー,,,0,res://assets/words/jp_word_197.png,,0,0,1
198,さいそく,催促,,0,res://assets/words/jp_word_198.png,,0,0,1
199,かいけい,会計,,0,res://assets/words/jp_word_199.png,,0,0,1
200,バイキング,,,0,res://assets/words/jp_word_200.png,,0,0,1
201,トレイ,,,0,res://assets/words/jp_word_201.png,,0,0,1
202,うつわ,器,,0,res://assets/words/jp_word_202.png,,0,0,1
203,かさねる,重ねる,,0,res://assets/words/jp_word_203.png,,0,0,1
204,ずらり,,,0,res://assets/words/jp_word_204.png,,0,0,1
205,しゅしょく,主食,,0,res://assets/words/jp_word_205.png,,0,0,1
206,なま,生,,0,res://assets/words/jp_word_206.png,,0,0,1
207,なまもの,生物,,0,res://assets/words/jp_word_207.png,,0,0,1
208,とくせい,特製,,0,res://assets/words/jp_word_208.png,,0,0,1
209,そまつな,粗末な,,0,res://assets/words/jp_word_209.png,,0,0,1
210,こうにゅう,購入,,0,res://assets/words/jp_word_210.png,,0,0,1
211,かいどく,買い得,,0,res://assets/words/jp_word_211.png,,0,0,1
212,てごろな,手頃な,,0,res://assets/words/jp_word_212.png,,0,0,1
213,ねびき,値引き,,0,res://assets/words/jp_word_213.png,,0,0,1
214,おまけ,,,0,res://assets/words/jp_word_214.png,,0,0,1
215,へんぴん,返品,,0,res://assets/words/jp_word_215.png,,0,0,1
216,へんきん,返金,,0,res://assets/words/jp_word_216.png,,0,0,1
217,かかく,価格,,0,res://assets/words/jp_word_217.png,,0,0,1
218,こうかな,高価な,,0,res://assets/words/jp_word_218.png,,0,0,1
219,きんがく,金額,,0,res://assets/words/jp_word_219.png,,0,0,1
220,かち,価値,,0,res://assets/words/jp_word_220.png,,0,0,1
221,ひんしつ,品質,,0,res://assets/words/jp_word_221.png,,0,0,1
222,しょうひぜい,消費税,,0,res://assets/words/jp_word_222.png,,0,0,1
223,オークション,,,0,res://assets/words/jp_word_223.png,,0,0,1
224,めいぶつ,名物,,0,res://assets/words/jp_word_224.png,,0,0,1
